State,Primairy Biome,Area (Km^2),Corn Yield (2023 in tons),Estimated Corn Residue (2023 in tons),Corn Yield per Km^2,Estimated Corn Residue per km^2,Estimated Used Corn Residue,Ranking by Corn Production,,Coffee Yield (2023 in tons),Estimated Coffee Residue (2023 in tons),Coffee Yield per Km^2,Estimated Coffee Residue per km^2,Estimated Used Coffee Residue,Ranking by Coffee Production,,Cotton Yield (2023 in tons),Estimated Cotton Residue (2023 in Tons),Cotton Yield per Km^2,Estimated Cotton Residue per km^2,Estimated Used Cotton Residue,Oats,Rye,Barley,wheat,Triticale,Total Straw Yield (tons),Total Straw Yield (tons) per Km^2,Estimated Used Straw,Soybeans (tons),Total Soybean Residue (tons),Totat Soybean Residue per Km^2,Estimated Used Soybean Residue,State,Rice Yield (2023 in tons),Estimated Rice Residue (2023 in tons),Rice Yield per Km^2,Estimated Rice Residue per km^2,Estimated Used Rice Residue
Goias,Cerrado,"340,112",14460846,8279372.823,42.51789411,24.34307764,minimal,Parana,Cerrado,0,0,0,0,minimal,Esperito Santo,Atlantic Forest,116410,71301.125,0.342269605,0.209640133,minimal,0,0,0,124911,0,207352.26,0.609658759,most,17405060,11786155.93,34.65374915,minimal ,Goias,94559,43019.61705,0.278023122,0.126486619,minimal
Mato Grosso do Sul,Cerrado,"357,146",13443031,7696635.834,37.64015557,21.55039069,,Mato Grosso,Cerrado,0,0,0,0,,Minas Gerais,Cerrado,140819,86251.6375,0.39428973,0.24150246,,31980,0,0,128777,0,250866.62,0.702420355,,14193250,9611219.821,26.91117868,,Mato Grosso do Sul,43531,19804.42845,0.121885727,0.055451912,
Mato Grosso,Cerrado,"903,366",50241972,28765399.86,55.61640797,31.84246459,,Goias,Cerrado,0,0,0,0,,Sao Paulo,Cerrado,5360416,3283254.8,5.933825271,3.634467979,,0,0,0,1393,0,2312.38,0.002559738,,44425783,30083734.6,33.30182296,,Mato Grosso,324706,147724.9947,0.359440138,0.163527291,
Tocantins,Cerrado,"277,721",2398750,1373373.699,8.637265457,4.945156106,,Sergipe,Atlantic Forest,0,0,0,0,,Rondonia,Amazon,24967,15292.2875,0.089899575,0.05506349,,0,0,0,0,0,0,0,,4340578,2939302.084,10.5836508,,Tocantins,604375,274960.4063,2.176194814,0.990059831,
Maranhao,Cerrado,"331,937",2487084,1423948.203,7.492638663,4.289814643,,Mato Grosso do Sul,Cerrado,0,0,0,0,,Rio de Janeiro,Atlantic Forest,113404,69459.95,0.341643143,0.209256425,,0,0,0,0,0,0,0,,3821792,2587996.62,7.796650026,,Maranhao,184752,84052.9224,0.556587545,0.253219504,
Minas Gerais,Cerrado,"586,522",8296982,4750331.155,14.14607125,8.099152555,,Santa Caterina,Atlantic forest,1735408,312373.44,2.958811434,0.532586058,,Bahia,Caatinga,118604,72644.95,0.202215774,0.123857161,,9781,0,1623,459229,0,774917.433,1.321207786,,8459161,5728276.179,9.766515457,,Minas Gerais,10327,4698.26865,0.017607183,0.008010388,
Sao Paulo,Cerrado,"248,223",4846053,2774545.798,19.52298135,11.17763381,,Sao Paulo,Cerrado,307353,55323.54,1.23821322,0.22287838,,Parana,Cerrado,39496,24191.3,0.159114989,0.097457931,,17165,0,21686,462062,6745,809252.576,3.26018369,,4962226,3360262.441,13.5372727,,Sao Paulo,47648,21677.4576,0.191956426,0.087330576,
Parana,Cerrado,"199,308",17884646,10239625.82,89.73370863,51.37588966,,Minas Gerais,Cerrado,41840,7531.2,0.209926345,0.037786742,,Acre,Amazon,393,240.7125,0.001971823,0.001207741,,240548,4991,276733,3639645,29674,6564327.043,32.93559236,,21553541,14595376,73.23025671,,Parana,148916,67749.3342,0.747165192,0.339922804,
Amazonas,Amazon,"1,559,159",8265,4732.020269,0.005300935,0.003034982,,Rio Grande do Sul,Pampas,0,0,0,0,,Goias,Cerrado,0,0,0,0,,0,0,0,0,0,0,0,,23455,15882.98388,0.010186892,,Amazonas,7003,3186.01485,0.004491524,0.002043419,
Acre,Amazon,"164,123",139065,79619.89095,0.847321826,0.485123297,,Piaui,Caatinga,2858,514.44,0.017413769,0.003134478,,Mato Grosso do Sul,Cerrado,0,0,0,0,,0,0,0,0,0,0,0,,45732,30968.26342,0.188689358,,Acre,4316,1963.5642,0.02629735,0.011963979,
Roraima,Amazon,"224,301",79774,45673.5856,0.355656016,0.203626313,,Tocantins,Cerrado,0,0,0,0,,Mato Grosso,Cerrado,0,0,0,0,,0,0,0,0,0,0,0,,445076,301391.3849,1.343691668,,Roraima,88902,40445.9649,0.396351331,0.180320038,
Rondonia,Amazon,"237,591",1705199,976289.9251,7.177035325,4.10911998,,Maranhao,Cerrado,224669,40440.42,0.945612418,0.170210235,,Tocantins,Cerrado,48000,29400,0.202027855,0.123742061,,0,0,0,0,0,0,0,,2131535,1443408.06,6.075179866,,Rondonia,113220,51509.439,0.476533202,0.21679878,
Para,Amazon,"1,247,955",1739135,995719.5488,1.39358791,0.797880972,,Rondonia,Amazon,0,0,0,0,,Maranhao,Cerrado,0,0,0,0,,0,0,0,0,0,0,0,,3156487,2137473.124,1.712780608,,Para,120410,54780.5295,0.096485851,0.043896238,
Amapa,Amazon,"142,829",2217,1269.315056,0.015522058,0.008886956,,Bahia,Caatinga,0,0,0,0,,Amazonas,Amazon,0,0,0,0,,0,0,0,0,0,0,0,,19536,13229.16107,0.092622374,,Amapa,781,355.31595,0.005468077,0.002487702,
Piaui,Caatinga,"251,578",2752791,1576075.355,10.94209748,6.264758266,,Alagoas,Atlantic Forest,0,0,0,0,,Roraima,Amazon,72999,44711.8875,0.290164482,0.177725745,,0,0,0,0,0,0,0,,3389142,2295019.729,9.12249771,,Piaui,92716,42181.1442,0.368537789,0.167666267,
Ceara,Caatinga,"148,921",359987,206105.9626,2.417301791,1.38399529,,Ceara,Caatinga,0,0,0,0,,Para,Amazon,5857,3587.4125,0.039329577,0.024089366,,0,0,0,0,0,0,0,,19113,12942.71886,0.086909965,,Ceara,19245,8755.51275,0.129229592,0.058793003,
Rio Grando do Norte,Caatinga,"52,811",25880,14817.26371,0.490049422,0.280571542,,Esperito Santo,Atlantic Forest,0,0,0,0,,Amapa,Amazon,1240,759.5,0.023479957,0.014381474,,0,0,0,0,0,0,0,,0,0,0,,Rio Grando do Norte,328,149.2236,0.006210827,0.002825616,
Paraiba,Caatinga,"56,470",41946,24015.64697,0.742801488,0.425281512,,Para,Amazon,0,0,0,0,,Piaui,Caatinga,1118,684.775,0.019798123,0.01212635,,0,0,0,0,0,0,0,,0,0,0,,Paraiba,1720,782.514,0.030458651,0.013857163,
Pernambuco,Caatinga,"98,148",55709,31895.47697,0.567601989,0.324973275,,Acre,Amazon,0,0,0,0,,Ceara,Caatinga,24,14.7,0.000244529,0.000149774,,0,0,0,0,0,0,0,,400,270.8673439,0.002759785,,Pernambuco,7,3.18465,7.13209E-05,3.24474E-05,
Bahia,Caatinga,"564,733",3097058,1773181.032,5.48411019,3.139857299,,Paraiba,Caatinga,232497,41849.46,0.411693668,0.07410486,,Rio Grando do Norte,Caatinga,1452841,889865.1125,2.572615732,1.575727136,,0,0,0,26222,0,43528.52,0.077078053,,7776560,5266040.379,9.324832052,,Bahia,687,312.55065,0.001216504,0.000553449,
Alagoas,Atlantic Forest,"27,779",71427,40894.61727,2.571258865,1.472141448,,Pernambuco,Caatinga,0,0,0,0,,Paraiba,Caatinga,20,12.25,0.000719968,0.000440981,,0,0,0,0,0,0,0,,18289,12384.73213,0.44583074,,Alagoas,17360,7897.932,0.624932503,0.284313042,
Sergipe,Atlantic Forest,"21,915",874463,500662.6304,39.90248688,22.84565961,,Rio Grando do Norte,Caatinga,0,0,0,0,,Pernambuco,Caatinga,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,,Sergipe,39927,18164.78865,1.821902806,0.828874682,
Esperito Santo,Atlantic Forest,"46,096",67475,38631.95011,1.463792954,0.838075974,,Roraima,Amazon,811417,146055.06,17.6027638,3.168497484,,Alagoas,Atlantic Forest,0,0,0,0,,0,0,0,1566,0,2599.56,0.056394481,,3780,2559.6964,0.055529686,,Esperito Santo,404,183.7998,0.008764318,0.003987326,
Rio de Janeiro,Atlantic Forest,"43,780",10458,5987.594431,0.238876199,0.136765519,,Rio de Janeiro,Atlantic Forest,20146,3626.28,0.460164459,0.082829603,,Sergipe,Atlantic Forest,0,0,0,0,,0,0,0,0,0,0,0,,2577,1745.062863,0.039859819,,Rio de Janeiro,737,335.29815,0.016834171,0.007658706,
Santa Caterina,Atlantic forest,"95,736",2586339,1480775.387,27.01532339,15.46727863,,Amapa,Amazon,0,0,0,0,,Santa Caterina,Atlantic forest,0,0,0,0,,26626,0,4086,288123,4936,516417.526,5.394183233,,2951678,1998782.95,20.87807042,,Santa Caterina,1176285,535150.8608,12.28675733,5.589860248,
Rio Grande do Sul,Pampas,"281,730",3960494,2267530.294,14.05776453,8.048593669,,Amazonas,Amazon,0,0,0,0,,Rio Grande do Sul,Pampas,0,0,0,0,,580946,2093,71295,2587340,17559,5040726.475,17.89204726,,12693487,8595627.77,30.5101614,,Rio Grande do Sul,7142801,3249617.315,25.35335605,11.53450934,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source for Crop Data: https://www.ibge.gov.br/estatisticas/economicas/agricultura-e-pecuaria/9117-producao-agricola-municipal-culturas-temporarias-e-permanentes.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
straw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eucalyptus,,,,,,,,,,,,,,,,,,,,,,,`,,,,,,,,,,,,,,,,
cotton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
add residue from estimates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
what biomas is burnt ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn (Sourced From Crop Residues Spreadsheet),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t/h grain,t/h residue,t residue / t grain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.54,6.311,1.139169675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.29,5.026,1.171561772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.62,6.397,1.138256228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.11,5.871,1.148923679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.77,6.557,1.136395147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.7,6.476,1.136140351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average:,,1.145074475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Availability Factor,,0.5,** Estimate**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Usable Residue Ratio (wght residue / wght grain),,0.572537238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee (Sourced from https://doi.org/10.1515/rput-2017-0011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Usable Residue Ratio (wght residue / wght grain),0.18,no availibility factor because just husk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton (Sourced from https://www.researchgate.net/publication/334937407_Bioenergy_Recovery_from_Cotton_Stalk) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residue Factor,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dry Weight Factor,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Availability Factor,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Usable Residue Ratio (wght residue / wght grain),0.6125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Straw:,Usable Residue Ratio (wght residue / wght grain),,** don't need availability factor because calculated from harvested straw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oats,1.16,https://www.albertagrains.com/files/2022/09/straw_management_in_western_canada_wheat_and_barley_cropping_systems.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rye,1.1,https://www.agmrc.org/commodities-products/grains-oilseeds/rye-profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barley,0.771,https://www.albertagrains.com/files/2022/09/straw_management_in_western_canada_wheat_and_barley_cropping_systems.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheat,1.66,https://www.albertagrains.com/files/2022/09/straw_management_in_western_canada_wheat_and_barley_cropping_systems.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triticale,0.83,https://wheatscience.ca.uky.edu/sites/wheatscience.ca.uky.edu/files/rr04-05pg3.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soybeans (Sourced from Crop Residues Spreadsheet):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t/h grain,t/h residue,t residue / t grain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.03,4.167,1.375247525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.9,4.052,1.397241379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.38,4.492,1.328994083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.39,4.503,1.328318584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.18,4.312,1.355974843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.28,4.396,1.340243902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average:,,1.354336719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Availability Factor,,0.5,** Estimate**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Usable Residue Ratio (wght residue / wght grain),,0.67716836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rice (Sourced from https://www.researchgate.net/publication/254835714_Utilization_of_Rice_Straw_and_Different_Treatments_to_Improve_Its_Feed_Value_for_Ruminants_A_Review) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T husk / T grain,0.2299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Availability Factor husk,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T straw / T grain,0.4501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
